path,type,answer
307.png,0,30
308.png,0,21005
309.png,0,-5879
310.png,0,88
311.png,0,2088
312.png,0,32.75
313.png,0,755
314.png,0,18000
315.png,0,37.73
316.png,0,85
317.png,0,650
318.png,0,2.25
319.png,0,23.05
320.png,0,-76.88
321.png,0,88
322.png,0,-96
323.png,0,44.42
324.png,0,-5.19
325.png,0,0.97
326.png,0,65.98
327.png,0,71
328.png,0,22.64
329.png,0,-54
330.png,0,43.81
331.png,0,48.75
332.png,0,2
333.png,0,63
334.png,0,15
335.png,0,215.6
336.png,0,1413
337.png,0,-1611
338.png,0,71
339.png,0,450.21
340.png,0,-89.83
341.png,0,2095.27
342.png,0,6586
343.png,0,-76.75
344.png,0,115.25
345.png,0,162
346.png,0,-77
347.png,0,1.32
348.png,0,47.54
349.png,0,5396
350.png,0,14.27
351.png,0,2106
352.png,0,89.67
353.png,0,30.09
354.png,0,47
355.png,0,95
356.png,0,41
357.png,0,49
358.png,0,-4770
359.png,0,6520
360.png,0,189551
361.png,0,-50.95
362.png,0,38070
363.png,0,825
364.png,0,4066.64
365.png,0,11
366.png,0,0
367.png,0,69
368.png,0,4654
369.png,0,11
370.png,0,5561
371.png,0,-15.4
372.png,0,-11.95
373.png,0,30.61
374.png,0,-43
375.png,0,32
376.png,0,372
377.png,0,-70
378.png,0,-597636
379.png,0,-38.18
380.png,0,0
381.png,0,53389
382.png,0,1803
383.png,0,5.87
384.png,0,0.64
385.png,0,7
386.png,0,141
387.png,0,0.89
388.png,0,1.17
389.png,0,-67
390.png,0,53.64
391.png,0,6129
392.png,0,0.03
393.png,0,1.62
394.png,0,91.89
395.png,0,23.98
396.png,0,53
397.png,0,678
398.png,0,109
399.png,0,3227.19
400.png,0,184
401.png,0,25.24
402.png,0,178
403.png,0,1096
404.png,0,171.62
405.png,0,-49
406.png,0,924
407.png,0,178
408.png,0,150480
409.png,0,-270
410.png,0,67
411.png,0,67
412.png,0,71
413.png,0,48
414.png,0,65.04
415.png,0,82
416.png,0,-0.04
417.png,0,1.75
418.png,0,89.72
419.png,0,0
420.png,0,-1226
421.png,0,-139
422.png,0,10.03
423.png,0,688
424.png,0,406272
425.png,0,51.29
426.png,0,26
427.png,0,47.72
428.png,0,58.56
429.png,0,22.98
430.png,0,8928
431.png,0,-88.87
432.png,0,5708
433.png,0,30646
434.png,0,132
435.png,0,-292
436.png,0,120
437.png,0,8649
438.png,0,7183
439.png,0,2417
440.png,0,4.53
441.png,0,48.46
442.png,0,-7
443.png,0,322.5
444.png,0,122
445.png,0,0.52
446.png,0,-97.8
447.png,0,0.97
448.png,0,69255
449.png,0,345657
450.png,0,7.45
451.png,0,29
452.png,0,18
453.png,0,217
454.png,0,15.89
455.png,0,-6803.77
456.png,0,722
457.png,0,114
458.png,0,4310
459.png,0,47
460.png,0,65.48
461.png,0,0.62
462.png,0,0.11
463.png,0,-75
464.png,0,1270.08
465.png,0,3.99
466.png,0,163.37
467.png,0,0
468.png,0,0.08
469.png,0,2.72
470.png,0,40.01
471.png,0,616
472.png,0,56.59
473.png,0,79.19
474.png,0,5922
475.png,0,3029
476.png,0,-72.21
477.png,0,49.04
478.png,0,-11
479.png,0,243.8
480.png,0,5917.79
481.png,0,-20.66
482.png,0,453.31
483.png,0,117936
484.png,0,101.05
485.png,0,1740
486.png,0,82.19
487.png,0,46.08
488.png,0,56074
489.png,0,-106.51
490.png,0,-26
491.png,0,82.23
492.png,0,-2837
493.png,0,-1373
494.png,0,4822
495.png,0,3.61
496.png,0,155
497.png,0,17072
498.png,0,78
499.png,0,97
500.png,0,139
501.png,0,151916
502.png,0,13576992
503.png,0,179
504.png,0,83.32
505.png,0,59.84
506.png,0,-120
507.png,0,-2335
508.png,0,-62
509.png,0,156
510.png,0,2
511.png,0,2526
512.png,0,0.07
513.png,0,-13
514.png,0,80235
515.png,0,88
516.png,0,2948
517.png,0,98
518.png,0,3.75
519.png,0,37.6
520.png,0,-4789
521.png,0,-1291.83
522.png,0,143.2
523.png,0,137.59
524.png,0,25.58
525.png,0,0
526.png,0,1089
527.png,0,10.68
528.png,0,714
529.png,0,10033842
530.png,0,1
531.png,0,0
532.png,0,21.13
533.png,0,2694
534.png,0,118
535.png,0,0.38
536.png,0,4644.94
537.png,0,-1034
538.png,0,-221
539.png,0,2747
540.png,0,60
541.png,0,1.81
542.png,0,384560
543.png,0,-5449
544.png,0,2653.54
545.png,0,-9
546.png,0,5
547.png,0,-33.33
548.png,0,58.11
549.png,0,76
550.png,0,1238.4
551.png,0,10640
552.png,0,50.55
553.png,0,7144
554.png,0,-1074
555.png,0,-63.2
556.png,0,59
557.png,0,0
558.png,0,184
559.png,0,149.71
560.png,0,2114.13
561.png,0,2182
562.png,0,8.39
563.png,0,102.38
564.png,0,0
565.png,0,58
566.png,0,-65.81
567.png,0,24.2
568.png,0,320
569.png,0,30963.6
570.png,0,258
571.png,0,-1.53
572.png,0,0.57
573.png,0,432402
574.png,0,-2611
575.png,0,18
576.png,0,7830
577.png,0,42.32
578.png,0,16.97
579.png,0,17.12
580.png,0,-46
581.png,0,52.28
582.png,0,40
583.png,0,177
584.png,0,25.82
585.png,0,8.54
586.png,0,80.16
587.png,0,94.08
588.png,0,98
589.png,0,690
590.png,0,142
591.png,0,4982
592.png,0,99
593.png,0,3036
594.png,0,236824
595.png,0,-0.7
596.png,0,282
597.png,0,0.12
598.png,0,2940
599.png,0,49.01
600.png,0,2.66
601.png,0,-76.12
602.png,0,4794
603.png,0,-29
604.png,0,140
605.png,0,0.05
606.png,0,7544
607.png,0,59.85
608.png,0,72.13
609.png,0,100
610.png,0,-34256
611.png,0,-4
612.png,0,6.24
613.png,0,46.06
614.png,0,-59
615.png,0,-0.46
616.png,0,32
617.png,0,134
618.png,0,92
619.png,0,90
620.png,0,7150.63
621.png,0,1152
622.png,0,73
623.png,0,-206
624.png,0,-3.89
625.png,0,12
626.png,0,79.75
627.png,0,-5311
628.png,0,82.03
629.png,0,87
630.png,0,35.56
631.png,0,73272
632.png,0,64.54
633.png,0,72.28
634.png,0,-1172
635.png,0,6943
636.png,0,-1309
637.png,0,83.3
638.png,0,1455
639.png,0,1219
640.png,0,34
641.png,0,109
642.png,0,-14
643.png,0,-93.68
644.png,0,2442
645.png,0,16.33
646.png,0,77
647.png,0,-2911
648.png,0,0.16
649.png,0,9387.14
650.png,0,28152
651.png,0,111
652.png,0,0.23
653.png,0,728
654.png,0,103194
655.png,0,191
656.png,0,1190
657.png,0,7308
658.png,0,0.49
659.png,0,2300
660.png,0,75
661.png,0,3488.8
662.png,0,1082.4
663.png,0,0.5
664.png,0,115
665.png,0,-19
666.png,0,1359
667.png,0,1077.78
668.png,0,2700
669.png,0,72.52
670.png,0,63
671.png,0,0
672.png,0,-182
673.png,0,77
674.png,0,0.02
675.png,0,0.37
676.png,0,0
677.png,0,74.89
678.png,0,717
679.png,0,79.96
680.png,0,79.81
681.png,0,-6
682.png,0,76
683.png,0,153.03
684.png,0,0.28
685.png,0,56.09
686.png,0,18.72
687.png,0,6975.29
688.png,0,8417
689.png,0,-90.63
690.png,0,19.6
691.png,0,122.77
692.png,0,196
693.png,0,21.04
694.png,0,-56.83
695.png,0,7636.14
696.png,0,2609
697.png,0,0.01
698.png,0,4501.26
699.png,0,90850
700.png,0,-3743
701.png,0,99
702.png,0,339
703.png,0,151.11
704.png,0,51
705.png,0,122
706.png,0,-87.32
707.png,0,4609
708.png,0,134123
709.png,0,0.44
710.png,0,50
711.png,0,137.6
712.png,0,122
713.png,0,149.27
714.png,0,-3
715.png,0,53
716.png,0,271730
717.png,0,-13
718.png,0,-73.57
719.png,0,140250
720.png,0,-788
721.png,0,-4389
722.png,0,1442.32
723.png,0,73
724.png,0,590
725.png,0,122
726.png,0,153
727.png,0,88795
728.png,0,4450
729.png,0,-80.29
730.png,0,-36
731.png,0,-55
732.png,0,-1.57
733.png,0,1.49
734.png,0,0.01
735.png,0,16.59
736.png,0,1.8
737.png,0,153
738.png,0,77
739.png,0,1.13
740.png,0,0.01
741.png,0,50
742.png,0,0.01
743.png,0,92.94
744.png,0,0.02
745.png,0,18.51
746.png,0,104.79
747.png,0,859
748.png,0,-1982
749.png,0,105
750.png,0,-4620
751.png,0,0.44
752.png,0,3745
753.png,0,64.8
754.png,0,713
755.png,0,2982
756.png,0,410
757.png,0,30
758.png,0,608
759.png,0,-8953
760.png,0,29.95
761.png,0,80
762.png,0,972
763.png,0,-3.86
764.png,0,871
765.png,0,-15
766.png,0,6
767.png,0,3760
768.png,0,455.25
769.png,0,156
770.png,0,-7966
771.png,0,0.08
772.png,0,44.55
773.png,0,1312
774.png,0,0
775.png,0,30
776.png,0,2350
777.png,0,0
778.png,0,-33
779.png,0,2874
780.png,0,33
781.png,0,0.49
782.png,0,1.35
783.png,0,72.03
784.png,0,42.94
785.png,0,1989
786.png,0,15
787.png,0,56
788.png,0,89
789.png,0,157.15
790.png,0,114
791.png,0,0
792.png,0,68.28
793.png,0,429.62
794.png,0,1491
795.png,0,-163
796.png,0,6.88
797.png,0,-59
798.png,0,49
799.png,0,5285
800.png,0,147
801.png,0,6.88
802.png,0,-44.75
803.png,0,37
804.png,0,51.33
805.png,0,-50
806.png,0,5480.71
807.png,0,-38
808.png,0,117.17
809.png,0,0.02
810.png,0,105.24
811.png,0,63
812.png,0,0.01
813.png,0,1766
814.png,0,-82.5
